timestamp	platform	item_title	sold_price	custom_label	notes
~10:48	eBay	Lot of 25 35mm Film Theatrical Movie Theater Preview Trailers	74.99	14D / R18	Same listing as pilot-1 multi-quantity
~12:00	private	Italiana cookbook	30.00 (shipped)	—	Viewer sale via email; prompted the Austin H Facebook DM mix-up
~14:55	eBay	Roman Coin Jewelry Set (earrings + reversible necklace, MMA NY repro)	62.99	chest drawer	From Modern Museum of Art repro line
~15:35	eBay	Crippen & Landrew Stake Out on Page Street (book)	19.99	3B
~16:00	eBay	Red Corset Lingerie (boned)	—	14D / red	Costume quality per Candice; price not clearly stated in audio
~16:50	eBay	Lucy & Ethel Chocolate Factory Barbie Double Pack	29.99	9C
~17:30	eBay	Steinbeck The Pearl (book)	79.99	3C	Higher-priced book — note green/blue cover-color discussion
~18:05	eBay	Stanley Nesting Two-Cup Cookset	20.99	—	Same item as pilot-1; multi-quantity listing still selling
~18:45	eBay	Yarn lot of 3 (cream / marble)	11.99	10B
~19:10	eBay	Encyclopedia of Cajun & Creole Cuisine (red binding)	44.99	3C
~19:42	eBay	Button lot (large)	24.99	Fox trot / button	From the $5 trash bag filler; buttons were heavy
~20:30	eBay	Crybaby Crying Again "Duck You" plush pendant	19.99	12C left	Squid Game red-light/green-light comparison
~21:15	eBay	Chair pin cushion (with bolo / lift seat)	24.99	6D	Mistaken for doll furniture initially
~21:55	eBay	Fiesta Tangerine 4-piece set	32.00	12C	Counter-offer accepted ($25 offer rejected, $32 accepted)
~22:33	eBay	Travel-size conditioner case (1 of 2)	—	2C	Paid $10 per case; second case still listed
